feature,healthy_mean,defective_mean,standardized_mean_difference,absolute_standardized_mean_difference
fyy,4.412314414978027,5.1413469314575195,1.0941523313522339,1.0941523313522339
2fyy,4.413234710693359,5.137707710266113,1.0889315605163574,1.0889315605163574
2ftpj,-1.5985225439071655,0.21631060540676117,0.9560668468475342,0.9560668468475342
ftpj,-1.5983061790466309,0.21477867662906647,0.9555386900901794,0.9555386900901794
2lyy,4.601368427276611,5.171478271484375,0.953506350517273,0.953506350517273
2ryy,4.425661563873291,4.809279441833496,0.9300029873847961,0.9300029873847961
2fzg3,5.641550064086914,9.135239601135254,0.6749184131622314,0.6749184131622314
fzg3,5.6489787101745605,9.077394485473633,0.6631507873535156,0.6631507873535156
fzg2,21.763683319091797,16.09850311279297,-0.5615478157997131,0.5615478157997131
2fzg2,21.75632667541504,16.158899307250977,-0.5566282868385315,0.5566282868385315
2yz,3059.34130859375,3422.382568359375,0.3961283266544342,0.3961283266544342
2lysy,2207.3681640625,2097.74609375,-0.37591952085494995,0.37591952085494995
2fzg4,15.673982620239258,18.044130325317383,0.3446398675441742,0.3446398675441742
fx,-63.10228729248047,-39.436988830566406,0.33499035239219666,0.33499035239219666
fhw3,160.0862579345703,154.21389770507812,-0.33305981755256653,0.33305981755256653
fzg4,15.679412841796875,17.984220504760742,0.33301588892936707,0.33301588892936707
2fhw3,160.3519287109375,154.22882080078125,-0.3270666301250458,0.3270666301250458
fhw1,159.40147399902344,154.92994689941406,-0.30059051513671875,0.30059051513671875
2fhw1,159.66122436523438,155.0627899169922,-0.29869604110717773,0.29869604110717773
fpw2,784.9867553710938,731.783935546875,-0.294901579618454,0.294901579618454
2fpw2,786.2158203125,733.309814453125,-0.2940664291381836,0.2940664291381836
fhw2,158.751220703125,153.8150634765625,-0.2799427807331085,0.2799427807331085
2fhw2,159.0156707763672,153.9103546142578,-0.2794022560119629,0.2794022560119629
ffy1,73.13548278808594,70.13946533203125,-0.2673707902431488,0.2673707902431488
2ffy1,73.12679290771484,70.16719818115234,-0.26475071907043457,0.26475071907043457
2zprd,28.551498413085938,28.390769958496094,-0.2573404610157013,0.2573404610157013
2fysy,2206.899169921875,2120.55517578125,-0.24388036131858826,0.24388036131858826
fysy,2206.35595703125,2121.357421875,-0.23992344737052917,0.23992344737052917
2rysy,2186.516357421875,2103.002685546875,-0.2379235476255417,0.2379235476255417
ffy2,70.84596252441406,67.73668670654297,-0.23077060282230377,0.23077060282230377
2ffy2,70.84648895263672,67.7602310180664,-0.22958913445472717,0.22958913445472717
2zpxd,28.488304138183594,28.351716995239258,-0.21186526119709015,0.21186526119709015
fzs2,92.63908386230469,89.13813018798828,-0.21089375019073486,0.21089375019073486
2fzs2,92.63687896728516,89.13764953613281,-0.21083566546440125,0.21083566546440125
ffy3,71.1404037475586,68.36737060546875,-0.20660769939422607,0.20660769939422607
2fzs3,92.83099365234375,89.43954467773438,-0.20588068664073944,0.20588068664073944
fzs3,92.83023071289062,89.43888092041016,-0.20586232841014862,0.20586232841014862
2ffy3,71.14175415039062,68.39391326904297,-0.20525521039962769,0.20525521039962769
fpw1,778.2791137695312,746.2440795898438,-0.20166653394699097,0.20166653394699097
2fpw1,779.4562377929688,747.6941528320312,-0.2003811150789261,0.2003811150789261
fry2,40.773189544677734,40.06581497192383,-0.19090792536735535,0.19090792536735535
2fry2,40.7737922668457,40.07722473144531,-0.18820048868656158,0.18820048868656158
2fhw4,159.7259979248047,156.52862548828125,-0.18489770591259003,0.18489770591259003
fhw4,159.45742797851562,156.51914978027344,-0.1828293651342392,0.1828293651342392
2fzs1,93.05995178222656,90.52909088134766,-0.18218733370304108,0.18218733370304108
fzs1,93.06210327148438,90.53103637695312,-0.18216489255428314,0.18216489255428314
2fhsw4,8.560079574584961,7.819023132324219,-0.17347170412540436,0.17347170412540436
fhsw4,8.555960655212402,7.817451000213623,-0.17295147478580475,0.17295147478580475
fzs4,92.37113952636719,89.55825805664062,-0.17237840592861176,0.17237840592861176
2fzs4,92.3703842163086,89.559814453125,-0.17224432528018951,0.17224432528018951
gtxb,7.7628326416015625,23.36514663696289,0.1712409108877182,0.1712409108877182
dh,176.92202758789062,158.86293029785156,-0.1707107573747635,0.1707107573747635
2fpx,14.491950988769531,13.879084587097168,-0.16667962074279785,0.16667962074279785
2jhdb,114.55365753173828,112.04727172851562,-0.1589537262916565,0.1589537262916565
ffy4,72.1977767944336,70.08380126953125,-0.15658311545848846,0.15658311545848846
2jhdc,114.32937622070312,111.88176727294922,-0.15547722578048706,0.15547722578048706
2ffy4,72.19392395019531,70.10722351074219,-0.15483853220939636,0.15483853220939636
2zpld,28.485881805419922,28.080860137939453,-0.1498051881790161,0.1498051881790161
fhsw3,8.842143058776855,8.14489459991455,-0.14923861622810364,0.14923861622810364
2fhsw3,8.843717575073242,8.151195526123047,-0.14816302061080933,0.14816302061080933
2jhda,114.01753997802734,111.69937896728516,-0.14756669104099274,0.14756669104099274
fpx,14.422747611999512,13.879166603088379,-0.14684146642684937,0.14684146642684937
fpw4,763.11865234375,738.8184814453125,-0.14569571614265442,0.14569571614265442
2fpw4,764.30615234375,740.3290405273438,-0.1441034972667694,0.1441034972667694
fry1,40.480186462402344,40.1270866394043,-0.12724348902702332,0.12724348902702332
2fhsw1,8.809406280517578,8.226469993591309,-0.12716542184352875,0.12716542184352875
fhsw1,8.804882049560547,8.224142074584961,-0.12671047449111938,0.12671047449111938
fhsw2,8.399499893188477,7.851185321807861,-0.12649793922901154,0.12649793922901154
2fhsw2,8.400007247924805,7.86095666885376,-0.12430921941995621,0.12430921941995621
2fry1,40.48358917236328,40.143314361572266,-0.12263873219490051,0.12263873219490051
