file_name,group,rows
00100726.xlsx,healthy,12463
00101206.xlsx,healthy,19981
002.xlsx,healthy,19119
003.xlsx,healthy,19176
01007.xlsx,healthy,19620
01008.xlsx,healthy,11599
01009.xlsx,healthy,11723
01010.xlsx,healthy,18263
01011.xlsx,healthy,19127
01012.xlsx,healthy,19982
0410may.xlsx,healthy,9152
1138.xlsx,healthy,10981
Defect15(01).xlsx,defective,12431
Defect15(02).xlsx,defective,4902
Defect15(03).xlsx,defective,15689
Defect15(04).xlsx,defective,13123
Defect16(01).xlsx,defective,9690
Defect16(02).xlsx,defective,14537
Defect16(03).xlsx,defective,14683
Defected 1.xlsx,defective,12431
Defected 2.xlsx,defective,4902
Defected 3.xlsx,defective,15689
Defected 4.xlsx,defective,13123
Defected 5.xlsx,defective,9690
Defected 6.xlsx,defective,14537
Defected 7.xlsx,defective,14683
Healthy 1.xlsx,healthy,19620
Healthy 2.xlsx,healthy,11599
Healthy 3.xlsx,healthy,11723
Healthy 4.xlsx,healthy,18263
Healthy 5.xlsx,healthy,19127
Healthy 6.xlsx,healthy,19982
Healthy 7.xlsx,healthy,12463
Healthy 8.xlsx,healthy,9152
Healthy 9.xlsx,healthy,20462
SatFiles.xlsx,healthy,20462
