strategy,file_name,group,rows,positive_rows,mean_prediction_score,max_prediction_score,predicted_positive_rows,contains_pre_fault,file_detected
weighted,Defect15(01).xlsx,defective,7379,30,0.008480132728141227,1.0,35,1,1
weighted,Defect15(02).xlsx,defective,2340,30,0.02193314137325244,0.9999999999999998,36,1,1
weighted,Defect15(03).xlsx,defective,500,30,0.062020242982524655,0.9999999999977645,31,1,1
weighted,Defect15(04).xlsx,defective,500,30,0.01784834990139126,0.9999999999999998,8,1,1
weighted,Defect16(01).xlsx,defective,574,30,0.05430825938764822,1.0,26,1,1
weighted,Defect16(02).xlsx,defective,2549,30,0.012412840383940905,0.9999999999998956,28,1,1
weighted,Defect16(03).xlsx,defective,510,30,0.07007985835167038,0.9988792957578755,35,1,1
weighted,Defected 1.xlsx,defective,7379,30,0.0040689131303708334,0.9999865791119834,30,1,1
weighted,Defected 2.xlsx,defective,2340,30,0.013211314309462449,0.9999800947597491,31,1,1
weighted,Defected 3.xlsx,defective,500,30,0.0599866258233312,0.9999999985966954,30,1,1
weighted,Defected 4.xlsx,defective,500,30,0.01784834990139126,0.9999999999999998,8,1,1
weighted,Defected 5.xlsx,defective,574,30,0.052401714636799525,0.9999716108814763,30,1,1
weighted,Defected 6.xlsx,defective,2549,30,0.011325055753875733,0.999173138214889,29,1,1
weighted,Defected 7.xlsx,defective,510,30,0.05874997966971285,0.9999925320151302,30,1,1
weighted,Healthy 1.xlsx,healthy,19620,0,1.62368156231631e-05,0.001733244777845628,0,0,0
weighted,Healthy 2.xlsx,healthy,11599,0,3.124187722911646e-06,0.03602728531055223,0,0,0
weighted,Healthy 3.xlsx,healthy,11723,0,0.00012085688416824824,0.6290479395026015,0,0,0
weighted,Healthy 4.xlsx,healthy,18263,0,0.002393471459146173,1.0,24,0,1
weighted,Healthy 5.xlsx,healthy,19127,0,3.8165790829314505e-08,3.1122379989462474e-05,0,0,0
weighted,Healthy 6.xlsx,healthy,19982,0,1.2037717709339798e-08,1.3741971299694101e-05,0,0,0
weighted,Healthy 7.xlsx,healthy,12463,0,6.696345469220335e-06,0.07683113523745953,0,0,0
weighted,Healthy 8.xlsx,healthy,9152,0,2.0983623726460503e-07,0.00010302153899115625,0,0,0
weighted,Healthy 9.xlsx,healthy,20462,0,0.0006818755811627862,0.9800941643455153,10,0,1
weighted_plus,Defect15(01).xlsx,defective,7379,30,0.008480132728141227,1.0,35,1,1
weighted_plus,Defect15(02).xlsx,defective,2340,30,0.02193314137325244,0.9999999999999998,36,1,1
weighted_plus,Defect15(03).xlsx,defective,500,30,0.062020242982524655,0.9999999999977645,31,1,1
weighted_plus,Defect15(04).xlsx,defective,500,30,0.01784834990139126,0.9999999999999998,8,1,1
weighted_plus,Defect16(01).xlsx,defective,574,30,0.05430825938764822,1.0,26,1,1
weighted_plus,Defect16(02).xlsx,defective,2549,30,0.012412840383940905,0.9999999999998956,28,1,1
weighted_plus,Defect16(03).xlsx,defective,510,30,0.07007985835167038,0.9988792957578755,35,1,1
weighted_plus,Defected 1.xlsx,defective,7379,30,0.0040689131303708334,0.9999865791119834,30,1,1
weighted_plus,Defected 2.xlsx,defective,2340,30,0.013211314309462449,0.9999800947597491,31,1,1
weighted_plus,Defected 3.xlsx,defective,500,30,0.0599866258233312,0.9999999985966954,30,1,1
weighted_plus,Defected 4.xlsx,defective,500,30,0.01784834990139126,0.9999999999999998,8,1,1
weighted_plus,Defected 5.xlsx,defective,574,30,0.052401714636799525,0.9999716108814763,30,1,1
weighted_plus,Defected 6.xlsx,defective,2549,30,0.011325055753875733,0.999173138214889,29,1,1
weighted_plus,Defected 7.xlsx,defective,510,30,0.05874997966971285,0.9999925320151302,30,1,1
weighted_plus,Healthy 1.xlsx,healthy,19620,0,1.6236815623163096e-05,0.001733244777845628,0,0,0
weighted_plus,Healthy 2.xlsx,healthy,11599,0,3.1241877229116288e-06,0.03602728531055203,0,0,0
weighted_plus,Healthy 3.xlsx,healthy,11723,0,0.00012085688416824824,0.6290479395026015,0,0,0
weighted_plus,Healthy 4.xlsx,healthy,18263,0,0.002393471459146173,1.0,24,0,1
weighted_plus,Healthy 5.xlsx,healthy,19127,0,3.816579082931463e-08,3.1122379989462474e-05,0,0,0
weighted_plus,Healthy 6.xlsx,healthy,19982,0,1.2037717709339797e-08,1.3741971299694101e-05,0,0,0
weighted_plus,Healthy 7.xlsx,healthy,12463,0,6.696345469220335e-06,0.07683113523745953,0,0,0
weighted_plus,Healthy 8.xlsx,healthy,9152,0,2.0983623726460503e-07,0.00010302153899115625,0,0,0
weighted_plus,Healthy 9.xlsx,healthy,20462,0,0.0006818755811627862,0.9800941643455153,10,0,1
oversample_20,Defect15(01).xlsx,defective,7379,30,0.00406580480417197,0.9999999275641572,30,1,1
oversample_20,Defect15(02).xlsx,defective,2340,30,0.012824703244741503,0.9999999860881408,30,1,1
oversample_20,Defect15(03).xlsx,defective,500,30,0.060000376000797516,0.9999999839631157,30,1,1
oversample_20,Defect15(04).xlsx,defective,500,30,0.027651674185985037,0.9999899564073514,16,1,1
oversample_20,Defect16(01).xlsx,defective,574,30,0.0522791004012774,0.9999999699593167,30,1,1
oversample_20,Defect16(02).xlsx,defective,2549,30,0.011769875326890725,0.9999999436528476,30,1,1
oversample_20,Defect16(03).xlsx,defective,510,30,0.058825136314088575,0.9999999111529191,30,1,1
oversample_20,Defected 1.xlsx,defective,7379,30,0.004073880543023422,0.9999995159279039,30,1,1
oversample_20,Defected 2.xlsx,defective,2340,30,0.0130312081807382,0.9999954529282347,31,1,1
oversample_20,Defected 3.xlsx,defective,500,30,0.06000038197076783,0.9999999511404234,30,1,1
oversample_20,Defected 4.xlsx,defective,500,30,0.027651674185985037,0.9999899564073514,16,1,1
oversample_20,Defected 5.xlsx,defective,574,30,0.052296042603950335,0.9999999082663653,30,1,1
oversample_20,Defected 6.xlsx,defective,2549,30,0.01177009099373203,0.9999998583106818,30,1,1
oversample_20,Defected 7.xlsx,defective,510,30,0.058853201507879586,0.9999996905781703,30,1,1
oversample_20,Healthy 1.xlsx,healthy,19620,0,8.665797416513919e-05,0.07128522469987669,0,0,0
oversample_20,Healthy 2.xlsx,healthy,11599,0,1.8456221183901944e-05,0.10835375461595816,0,0,0
oversample_20,Healthy 3.xlsx,healthy,11723,0,1.5362868211439247e-08,7.637413110717048e-06,0,0,0
oversample_20,Healthy 4.xlsx,healthy,18263,0,5.799832938961676e-09,7.618591639332282e-06,0,0,0
oversample_20,Healthy 5.xlsx,healthy,19127,0,6.912080032840335e-09,3.07525245545186e-06,0,0,0
oversample_20,Healthy 6.xlsx,healthy,19982,0,6.038640315564991e-07,7.060241913124474e-05,0,0,0
oversample_20,Healthy 7.xlsx,healthy,12463,0,9.180167980390397e-07,0.007447784987937795,0,0,0
oversample_20,Healthy 8.xlsx,healthy,9152,0,7.600315791881577e-08,7.788880503977984e-05,0,0,0
oversample_20,Healthy 9.xlsx,healthy,20462,0,0.0005266330772632825,0.9809858670451762,15,0,1
oversample_30,Defect15(01).xlsx,defective,7379,30,0.0040660469623055055,0.9999999529965042,30,1,1
oversample_30,Defect15(02).xlsx,defective,2340,30,0.012821489618692427,0.9999999700416682,30,1,1
oversample_30,Defect15(03).xlsx,defective,500,30,0.06000059284116162,0.9999999683954132,30,1,1
oversample_30,Defect15(04).xlsx,defective,500,30,0.01846739301639836,0.9999504181746602,15,1,1
oversample_30,Defect16(01).xlsx,defective,574,30,0.05227959659370265,0.9999999520493822,30,1,1
oversample_30,Defect16(02).xlsx,defective,2549,30,0.011770418769524733,0.9999999484867552,30,1,1
oversample_30,Defect16(03).xlsx,defective,510,30,0.05883053746960586,0.9999999010627576,30,1,1
