rows,positives,negative_rows,average_precision,roc_auc,precision,recall,f1,brier_loss,threshold,true_negative,false_positive,false_negative,true_positive,strategy,fold,threshold_source,ratio,class_weight_multiplier,train_files,valid_files,train_validation_groups,valid_validation_groups
36993,30,36963,0.9999999999999999,1.0,1.0,1.0,1.0,0.00027046061439893845,0.998878349851502,36963,0,0,30,weighted,1,training_fold_only,,1.0,20,3,14,3
33921,30,33891,0.9999999999999999,1.0,1.0,1.0,1.0,2.460164809871975e-05,0.9992884582327056,33891,0,0,30,weighted,2,training_fold_only,,1.0,20,3,14,3
33892,30,33862,0.9678267594740912,0.9991834504754591,1.0,0.9666666666666667,0.9830508474576272,5.226987858246436e-05,0.9148588327723737,33862,0,1,29,weighted,3,training_fold_only,,1.0,20,3,14,3
33174,90,33084,1.0,1.0,1.0,1.0,1.0,4.111031191039309e-07,0.9695743199313573,33084,0,0,90,weighted,4,training_fold_only,,1.0,18,5,12,5
33115,240,32875,0.4576324439457152,0.7648738910012675,0.658008658008658,0.6333333333333333,0.6454352441613588,0.00540224572960361,0.6829941781133275,32796,79,88,152,weighted,5,training_fold_only,,1.0,14,9,14,3
36993,30,36963,0.9999999999999999,1.0,1.0,1.0,1.0,0.00027046061439893845,0.998878349851502,36963,0,0,30,weighted_plus,1,training_fold_only,,1.35,20,3,14,3
33921,30,33891,0.9999999999999999,1.0,1.0,1.0,1.0,2.4601648098719748e-05,0.9992884582327056,33891,0,0,30,weighted_plus,2,training_fold_only,,1.35,20,3,14,3
33892,30,33862,0.9678267594740912,0.9991834504754591,1.0,0.9666666666666667,0.9830508474576272,5.226987858246436e-05,0.9148588327723737,33862,0,1,29,weighted_plus,3,training_fold_only,,1.35,20,3,14,3
33174,90,33084,1.0,1.0,1.0,1.0,1.0,4.111031191039309e-07,0.9695743199313573,33084,0,0,90,weighted_plus,4,training_fold_only,,1.35,18,5,12,5
33115,240,32875,0.4576324439457152,0.7648738910012675,0.658008658008658,0.6333333333333333,0.6454352441613588,0.00540224572960361,0.6829941781133275,32796,79,88,152,weighted_plus,5,training_fold_only,,1.35,14,9,14,3
36993,30,36963,1.0,1.0,1.0,1.0,1.0,0.00021743422052089662,0.9999545565218271,36963,0,0,30,oversample_20,1,training_fold_only,0.2,1.0,20,3,14,3
33921,30,33891,0.9999999999999999,1.0,1.0,1.0,1.0,5.535944305302443e-06,0.9998460169956819,33891,0,0,30,oversample_20,2,training_fold_only,0.2,1.0,20,3,14,3
33892,30,33862,1.0,1.0,1.0,1.0,1.0,2.4462985823285805e-06,0.9999923774467205,33862,0,0,30,oversample_20,3,training_fold_only,0.2,1.0,20,3,14,3
33174,90,33084,0.9999999999999999,1.0,1.0,0.9888888888888889,0.994413407821229,1.6039053774500473e-08,0.9999966247099803,33084,0,1,89,oversample_20,4,training_fold_only,0.2,1.0,18,5,12,5
33115,240,32875,0.9404319980762,0.9987566539923954,1.0,0.75,0.8571428571428571,0.0009360314174653168,0.9999983493513532,32875,0,60,180,oversample_20,5,training_fold_only,0.2,1.0,14,9,14,3
36993,30,36963,0.9999999999999999,1.0,1.0,1.0,1.0,0.00032789075518249646,0.9999928034134158,36963,0,0,30,oversample_30,1,training_fold_only,0.3,1.0,20,3,14,3
33921,30,33891,1.0,1.0,1.0,1.0,1.0,3.2724658630106704e-09,0.9999871317968668,33891,0,0,30,oversample_30,2,training_fold_only,0.3,1.0,20,3,14,3
33892,30,33862,1.0,1.0,1.0,1.0,1.0,2.187211236799495e-11,0.999995552568991,33862,0,0,30,oversample_30,3,training_fold_only,0.3,1.0,20,3,14,3
33174,90,33084,0.9999999999999998,1.0,1.0,0.9888888888888889,0.994413407821229,8.402036659559218e-10,0.9999974884790649,33084,0,1,89,oversample_30,4,training_fold_only,0.3,1.0,18,5,12,5
33115,240,32875,0.9378817738439461,0.9984940430925222,1.0,0.75,0.8571428571428571,0.0012040118902231427,0.9999976789415036,32875,0,60,180,oversample_30,5,training_fold_only,0.3,1.0,14,9,14,3
