feature,contains_blocked_term
current__dtg,False
delta1__dtg,False
missing__dtg,False
current__ds,False
delta1__ds,False
missing__ds,False
current__ttg,False
delta1__ttg,False
missing__ttg,False
current__phj,False
delta1__phj,False
missing__phj,False
current__zhx,False
delta1__zhx,False
missing__zhx,False
current__mh,False
delta1__mh,False
missing__mh,False
current__dh,False
delta1__dh,False
missing__dh,False
current__fx,False
delta1__fx,False
missing__fx,False
current__wd,False
delta1__wd,False
missing__wd,False
current__ctd,False
delta1__ctd,False
missing__ctd,False
current__yfhx,False
delta1__yfhx,False
missing__yfhx,False
current__jd,False
delta1__jd,False
missing__jd,False
current__hp,False
delta1__hp,False
missing__hp,False
current__hc,False
delta1__hc,False
missing__hc,False
current__gcj,False
delta1__gcj,False
missing__gcj,False
current__dp,False
delta1__dp,False
missing__dp,False
current__zjsl,False
delta1__zjsl,False
missing__zjsl,False
current__xjsl,False
delta1__xjsl,False
missing__xjsl,False
current__2yz,False
delta1__2yz,False
missing__2yz,False
current__yz,False
delta1__yz,False
missing__yz,False
current__yjsl,False
delta1__yjsl,False
missing__yjsl,False
current__ias,False
delta1__ias,False
missing__ias,False
current__tas,False
delta1__tas,False
missing__tas,False
current__fs,False
delta1__fs,False
missing__fs,False
current__rh,False
delta1__rh,False
missing__rh,False
current__2fn3,False
delta1__2fn3,False
missing__2fn3,False
current__fn2,False
delta1__fn2,False
missing__fn2,False
current__fn3,False
delta1__fn3,False
missing__fn3,False
current__2fn2,False
delta1__2fn2,False
missing__2fn2,False
current__fn4,False
delta1__fn4,False
missing__fn4,False
current__2fn4,False
delta1__2fn4,False
missing__2fn4,False
current__2fn1,False
delta1__2fn1,False
missing__2fn1,False
current__fn1,False
delta1__fn1,False
missing__fn1,False
current__locaz,False
delta1__locaz,False
missing__locaz,False
current__gsel,False
delta1__gsel,False
missing__gsel,False
current__sat,False
delta1__sat,False
missing__sat,False
current__jdl,False
delta1__jdl,False
missing__jdl,False
current__2fpw3,False
delta1__2fpw3,False
missing__2fpw3,False
current__fpw3,False
delta1__fpw3,False
missing__fpw3,False
current__2fpw2,False
delta1__2fpw2,False
missing__2fpw2,False
current__fpw1,False
delta1__fpw1,False
missing__fpw1,False
current__fpw2,False
delta1__fpw2,False
missing__fpw2,False
current__2fpw1,False
delta1__2fpw1,False
missing__2fpw1,False
current__tat,False
delta1__tat,False
missing__tat,False
current__2fpw4,False
delta1__2fpw4,False
missing__2fpw4,False
mean5__dtg,False
std5__dtg,False
mean5__ds,False
std5__ds,False
mean5__ttg,False
std5__ttg,False
mean5__phj,False
std5__phj,False
mean5__zhx,False
std5__zhx,False
mean5__mh,False
std5__mh,False
mean5__dh,False
std5__dh,False
mean5__fx,False
std5__fx,False
mean5__wd,False
std5__wd,False
mean5__ctd,False
std5__ctd,False
mean5__yfhx,False
std5__yfhx,False
mean5__jd,False
std5__jd,False
mean5__hp,False
std5__hp,False
mean5__hc,False
std5__hc,False
mean5__gcj,False
std5__gcj,False
mean5__dp,False
std5__dp,False
mean5__zjsl,False
std5__zjsl,False
mean5__xjsl,False
std5__xjsl,False
mean5__2yz,False
std5__2yz,False
mean5__yz,False
std5__yz,False
mean5__yjsl,False
std5__yjsl,False
mean5__ias,False
std5__ias,False
mean5__tas,False
std5__tas,False
mean5__fs,False
std5__fs,False
mean5__rh,False
std5__rh,False
mean5__2fn3,False
std5__2fn3,False
mean5__fn2,False
std5__fn2,False
mean5__fn3,False
std5__fn3,False
mean5__2fn2,False
std5__2fn2,False
mean5__fn4,False
std5__fn4,False
mean5__2fn4,False
std5__2fn4,False
mean5__2fn1,False
std5__2fn1,False
mean5__fn1,False
std5__fn1,False
mean5__locaz,False
std5__locaz,False
mean5__gsel,False
std5__gsel,False
mean5__sat,False
std5__sat,False
mean5__jdl,False
std5__jdl,False
mean5__2fpw3,False
std5__2fpw3,False
mean5__fpw3,False
std5__fpw3,False
mean5__2fpw2,False
std5__2fpw2,False
mean5__fpw1,False
std5__fpw1,False
mean5__fpw2,False
std5__fpw2,False
mean5__2fpw1,False
std5__2fpw1,False
mean5__tat,False
std5__tat,False
mean5__2fpw4,False
std5__2fpw4,False
mean20__dtg,False
std20__dtg,False
slope20__dtg,False
mean20__ds,False
std20__ds,False
slope20__ds,False
mean20__ttg,False
std20__ttg,False
slope20__ttg,False
mean20__phj,False
std20__phj,False
slope20__phj,False
mean20__zhx,False
std20__zhx,False
slope20__zhx,False
mean20__mh,False
std20__mh,False
slope20__mh,False
mean20__dh,False
std20__dh,False
slope20__dh,False
mean20__fx,False
std20__fx,False
slope20__fx,False
mean20__wd,False
std20__wd,False
slope20__wd,False
mean20__ctd,False
std20__ctd,False
slope20__ctd,False
mean20__yfhx,False
std20__yfhx,False
slope20__yfhx,False
mean20__jd,False
std20__jd,False
slope20__jd,False
mean20__hp,False
std20__hp,False
slope20__hp,False
mean20__hc,False
std20__hc,False
slope20__hc,False
mean20__gcj,False
std20__gcj,False
slope20__gcj,False
mean20__dp,False
std20__dp,False
slope20__dp,False
mean20__zjsl,False
std20__zjsl,False
slope20__zjsl,False
mean20__xjsl,False
std20__xjsl,False
slope20__xjsl,False
mean20__2yz,False
std20__2yz,False
slope20__2yz,False
mean20__yz,False
std20__yz,False
slope20__yz,False
mean20__yjsl,False
std20__yjsl,False
slope20__yjsl,False
mean20__ias,False
std20__ias,False
slope20__ias,False
mean20__tas,False
std20__tas,False
slope20__tas,False
mean20__fs,False
std20__fs,False
slope20__fs,False
mean20__rh,False
std20__rh,False
slope20__rh,False
mean20__2fn3,False
std20__2fn3,False
slope20__2fn3,False
mean20__fn2,False
std20__fn2,False
slope20__fn2,False
mean20__fn3,False
std20__fn3,False
slope20__fn3,False
mean20__2fn2,False
std20__2fn2,False
slope20__2fn2,False
mean20__fn4,False
std20__fn4,False
slope20__fn4,False
mean20__2fn4,False
std20__2fn4,False
slope20__2fn4,False
mean20__2fn1,False
std20__2fn1,False
slope20__2fn1,False
mean20__fn1,False
std20__fn1,False
slope20__fn1,False
mean20__locaz,False
std20__locaz,False
slope20__locaz,False
mean20__gsel,False
std20__gsel,False
slope20__gsel,False
mean20__sat,False
std20__sat,False
slope20__sat,False
mean20__jdl,False
std20__jdl,False
slope20__jdl,False
mean20__2fpw3,False
std20__2fpw3,False
slope20__2fpw3,False
mean20__fpw3,False
std20__fpw3,False
slope20__fpw3,False
mean20__2fpw2,False
std20__2fpw2,False
slope20__2fpw2,False
mean20__fpw1,False
std20__fpw1,False
slope20__fpw1,False
mean20__fpw2,False
std20__fpw2,False
slope20__fpw2,False
mean20__2fpw1,False
std20__2fpw1,False
slope20__2fpw1,False
mean20__tat,False
std20__tat,False
slope20__tat,False
mean20__2fpw4,False
std20__2fpw4,False
slope20__2fpw4,False
mean50__dtg,False
slope50__dtg,False
mean50__ds,False
slope50__ds,False
mean50__ttg,False
slope50__ttg,False
mean50__phj,False
slope50__phj,False
mean50__zhx,False
slope50__zhx,False
mean50__mh,False
slope50__mh,False
mean50__dh,False
slope50__dh,False
mean50__fx,False
slope50__fx,False
mean50__wd,False
slope50__wd,False
mean50__ctd,False
slope50__ctd,False
mean50__yfhx,False
slope50__yfhx,False
mean50__jd,False
slope50__jd,False
mean50__hp,False
slope50__hp,False
mean50__hc,False
slope50__hc,False
mean50__gcj,False
slope50__gcj,False
mean50__dp,False
slope50__dp,False
mean50__zjsl,False
slope50__zjsl,False
mean50__xjsl,False
slope50__xjsl,False
mean50__2yz,False
slope50__2yz,False
mean50__yz,False
slope50__yz,False
mean50__yjsl,False
slope50__yjsl,False
mean50__ias,False
slope50__ias,False
mean50__tas,False
