model,fold,rows,files,roc_auc,average_precision
logistic_robust,1,14720,7,0.9833791758107777,0.7325214608252849
logistic_robust,2,14684,7,0.9943925022583558,0.8969246336888639
logistic_robust,3,17289,7,0.9906720460201683,0.7474899881374626
logistic_robust,4,16487,7,0.9791479346159659,0.5936440691019951
logistic_robust,5,19162,8,0.9954416020551867,0.8961981247965926
random_forest,1,14720,7,0.9998985613265057,0.9987329758673906
random_forest,2,14684,7,0.9999674151503419,0.9996935453248258
random_forest,3,17289,7,0.999813387528741,0.9964895729562199
random_forest,4,16487,7,0.9996076217621855,0.9950969783567108
random_forest,5,19162,8,0.9999999226209821,0.9999979620949664
extra_trees,1,14720,7,0.9997344898456821,0.99683530154923
extra_trees,2,14684,7,0.9996758183851678,0.9970313376748643
extra_trees,3,17289,7,0.9991549477708981,0.9808798321441721
extra_trees,4,16487,7,0.9996321762493945,0.9951336194412798
extra_trees,5,19162,8,0.9998691520807217,0.9964572918351607
hist_gradient_boosting,1,14720,7,1.0,0.9999999999999999
hist_gradient_boosting,2,14684,7,0.9999999999999999,1.0
hist_gradient_boosting,3,17289,7,1.0,1.0
hist_gradient_boosting,4,16487,7,0.9999999383053085,0.9999990938335372
hist_gradient_boosting,5,19162,8,0.999996827460266,0.9999209562367458
