component,explained_variance_ratio,cumulative_explained_variance
1,0.9995448,0.9995448
2,0.00041389882,0.9999587
3,1.31057695e-05,0.9999718
4,6.1345936e-06,0.99997795
5,3.875592e-06,0.9999818
6,3.4644022e-06,0.9999853
7,3.2457706e-06,0.9999885
8,1.8250191e-06,0.99999034
9,1.4102116e-06,0.9999918
10,1.1785212e-06,0.99999297
11,1.036194e-06,0.999994
12,8.5264685e-07,0.9999948
13,6.9755066e-07,0.9999955
14,6.3798666e-07,0.9999962
15,6.273961e-07,0.99999684
16,5.495114e-07,0.9999974
17,5.284893e-07,0.9999979
18,3.8592103e-07,0.9999983
19,3.5073657e-07,0.9999986
20,2.8147062e-07,0.9999989
21,2.2241458e-07,0.99999917
22,1.8627658e-07,0.99999934
23,1.7871388e-07,0.9999995
24,1.4179327e-07,0.99999964
