feature_name,feature_group,non_null_rows,missing_ratio,variance
ias__diff_1,change,312478,7.359976448075366e-05,0.005281428806483746
ias__diff_3,change,312432,0.00022079929344226098,0.015412680804729462
ias__pct_change_1,change,311720,0.002499192002585592,0.2068217396736145
iso_score__diff_1,change,312478,7.359976448075366e-05,0.00033911154605448246
iso_score__diff_3,change,312432,0.00022079929344226098,0.0004278978449292481
iso_score__pct_change_1,change,312478,7.359976448075366e-05,266841.0
pca_fault_score__diff_1,change,312478,7.359976448075366e-05,0.06976538896560669
pca_fault_score__diff_3,change,312432,0.00022079929344226098,0.14481042325496674
pca_fault_score__pct_change_1,change,312478,7.359976448075366e-05,0.718183696269989
spe_ratio__diff_1,change,312478,7.359976448075366e-05,0.0697978138923645
spe_ratio__diff_3,change,312432,0.00022079929344226098,0.14485889673233032
spe_ratio__pct_change_1,change,312478,7.359976448075366e-05,0.7049303650856018
t2_ratio__diff_1,change,312478,7.359976448075366e-05,8.869195153238252e-05
t2_ratio__diff_3,change,312432,0.00022079929344226098,0.0003835991083178669
t2_ratio__pct_change_1,change,312478,7.359976448075366e-05,0.19551952183246613
tas__diff_1,change,312478,7.359976448075366e-05,0.00022798776626586914
tas__diff_3,change,312432,0.00022079929344226098,0.0007812224212102592
tas__pct_change_1,change,311486,0.0032479896064332592,0.0409858301281929
time_index_anomaly__diff_1,change,312478,7.359976448075366e-05,0.0
time_index_anomaly__diff_3,change,312432,0.00022079929344226098,0.0
time_index_anomaly__pct_change_1,change,312455,0.0001471995289615073,0.00012053316459059715
time_index_pca__diff_1,change,312478,7.359976448075366e-05,0.0
time_index_pca__diff_3,change,312432,0.00022079929344226098,0.0
time_index_pca__pct_change_1,change,312455,0.0001471995289615073,0.00012053316459059715
ias__current,current,312501,0.0,37.84619903564453
iso_score__current,current,312501,0.0,0.00647498806938529
pca_fault_score__current,current,312501,0.0,7.409621238708496
spe_ratio__current,current,312501,0.0,7.407782077789307
t2_ratio__current,current,312501,0.0,0.046997278928756714
tas__current,current,312501,0.0,2.9574344158172607
time_index_anomaly__current,current,312501,0.0,23263692.0
time_index_pca__current,current,312501,0.0,23263692.0
ias__lag_1,lag,312478,7.359976448075366e-05,37.83491897583008
ias__lag_3,lag,312432,0.00022079929344226098,37.812355041503906
ias__lag_5,lag,312386,0.0003679988224037683,37.78977584838867
iso_score__lag_1,lag,312478,7.359976448075366e-05,0.006472347769886255
iso_score__lag_3,lag,312432,0.00022079929344226098,0.006467083934694529
iso_score__lag_5,lag,312386,0.0003679988224037683,0.006461916025727987
pca_fault_score__lag_1,lag,312478,7.359976448075366e-05,7.377484321594238
pca_fault_score__lag_3,lag,312432,0.00022079929344226098,7.313194274902344
pca_fault_score__lag_5,lag,312386,0.0003679988224037683,7.248883247375488
spe_ratio__lag_1,lag,312478,7.359976448075366e-05,7.375668048858643
spe_ratio__lag_3,lag,312432,0.00022079929344226098,7.311424732208252
spe_ratio__lag_5,lag,312386,0.0003679988224037683,7.247160911560059
t2_ratio__lag_1,lag,312478,7.359976448075366e-05,0.0468648262321949
t2_ratio__lag_3,lag,312432,0.00022079929344226098,0.04659949243068695
t2_ratio__lag_5,lag,312386,0.0003679988224037683,0.04633359611034393
tas__lag_1,lag,312478,7.359976448075366e-05,2.9566233158111572
tas__lag_3,lag,312432,0.00022079929344226098,2.955000400543213
tas__lag_5,lag,312386,0.0003679988224037683,2.953376293182373
time_index_anomaly__lag_1,lag,312478,7.359976448075366e-05,23261332.0
time_index_anomaly__lag_3,lag,312432,0.00022079929344226098,23256614.0
time_index_anomaly__lag_5,lag,312386,0.0003679988224037683,23251896.0
time_index_pca__lag_1,lag,312478,7.359976448075366e-05,23261332.0
