file_name,group,rows,positive_rows,mean_prediction_score,max_prediction_score,predicted_positive_rows,contains_pre_fault,file_detected
Defect15(01).xlsx,defective,7379,30,0.01034922721116955,1.0,46,1,1
Defect15(02).xlsx,defective,2340,30,0.019461119905032367,0.9999999999999971,24,1,1
Defect15(03).xlsx,defective,500,30,0.0695759499475721,1.0,31,1,1
Defect15(04).xlsx,defective,500,30,0.05891991703667398,1.0,29,1,1
Defect16(01).xlsx,defective,574,30,0.05976401180825216,1.0,33,1,1
Defect16(02).xlsx,defective,2549,30,0.0167842928083863,1.0,28,1,1
Defect16(03).xlsx,defective,510,30,0.04629032142483961,1.0,22,1,1
Defected 1.xlsx,defective,7379,30,0.003975141046834627,0.9999979335645477,29,1,1
Defected 2.xlsx,defective,2340,30,0.013294847866117853,0.99917708764382,31,1,1
Defected 3.xlsx,defective,500,30,0.059870145928879,0.9999999989691923,30,1,1
Defected 4.xlsx,defective,500,30,0.05891991703667398,1.0,29,1,1
Defected 5.xlsx,defective,574,30,0.051731442960355443,0.9980506153587304,30,1,1
Defected 6.xlsx,defective,2549,30,0.012536642003187156,0.9999955302323043,32,1,1
Defected 7.xlsx,defective,510,30,0.05836116193407656,0.9943752810801697,30,1,1
Healthy 1.xlsx,healthy,19620,0,2.021845030433056e-06,0.0006457734912107478,0,0,0
Healthy 2.xlsx,healthy,11599,0,8.052336970050212e-05,0.2564228912758145,0,0,0
Healthy 3.xlsx,healthy,11723,0,0.0003726153442160362,0.6767133917991326,0,0,0
Healthy 4.xlsx,healthy,18263,0,0.0012693935098929024,0.9478036519656049,3,0,1
Healthy 5.xlsx,healthy,19127,0,8.029610324659604e-05,1.0,1,0,1
Healthy 6.xlsx,healthy,19982,0,3.800973081816098e-05,0.00325448727964454,0,0,0
Healthy 7.xlsx,healthy,12463,0,0.00027164514066875284,0.9999999999999993,3,0,1
Healthy 8.xlsx,healthy,9152,0,7.871444806791601e-08,4.242840552662794e-05,0,0,0
Healthy 9.xlsx,healthy,20462,0,0.0009872981985671024,0.9663629159520262,19,0,1
