feature_name,base_feature_count
current__dtg,45
delta1__dtg,45
missing__dtg,45
current__ds,45
delta1__ds,45
missing__ds,45
current__ttg,45
delta1__ttg,45
missing__ttg,45
current__phj,45
delta1__phj,45
missing__phj,45
current__zhx,45
delta1__zhx,45
missing__zhx,45
current__mh,45
delta1__mh,45
missing__mh,45
current__dh,45
delta1__dh,45
missing__dh,45
current__fx,45
delta1__fx,45
missing__fx,45
current__wd,45
delta1__wd,45
missing__wd,45
current__ctd,45
delta1__ctd,45
missing__ctd,45
current__yfhx,45
delta1__yfhx,45
missing__yfhx,45
current__jd,45
delta1__jd,45
missing__jd,45
current__hp,45
delta1__hp,45
missing__hp,45
current__hc,45
delta1__hc,45
missing__hc,45
current__gcj,45
delta1__gcj,45
missing__gcj,45
current__dp,45
delta1__dp,45
missing__dp,45
current__zjsl,45
delta1__zjsl,45
missing__zjsl,45
current__xjsl,45
delta1__xjsl,45
missing__xjsl,45
current__2yz,45
delta1__2yz,45
missing__2yz,45
current__yz,45
delta1__yz,45
missing__yz,45
current__yjsl,45
delta1__yjsl,45
missing__yjsl,45
current__ias,45
delta1__ias,45
missing__ias,45
current__tas,45
delta1__tas,45
missing__tas,45
current__fs,45
delta1__fs,45
missing__fs,45
current__rh,45
delta1__rh,45
missing__rh,45
current__2fn3,45
delta1__2fn3,45
missing__2fn3,45
current__fn2,45
delta1__fn2,45
missing__fn2,45
current__fn3,45
delta1__fn3,45
missing__fn3,45
current__2fn2,45
delta1__2fn2,45
missing__2fn2,45
current__fn4,45
delta1__fn4,45
missing__fn4,45
current__2fn4,45
delta1__2fn4,45
missing__2fn4,45
current__2fn1,45
delta1__2fn1,45
missing__2fn1,45
current__fn1,45
delta1__fn1,45
missing__fn1,45
current__locaz,45
delta1__locaz,45
missing__locaz,45
current__gsel,45
delta1__gsel,45
missing__gsel,45
current__sat,45
delta1__sat,45
missing__sat,45
current__jdl,45
delta1__jdl,45
missing__jdl,45
current__2fpw3,45
delta1__2fpw3,45
