feature,median_shift_robust_units
jdw,1.4642855643119
fx,0.6701856105541436
jd,0.5661378376388538
jdl,0.466426997421966
locaz,0.3846153956369541
yz,0.24236760124610593
2yz,0.24236760124610593
yfhx,0.23378397646067298
2fn4,0.20800273813839545
fn4,0.20800273813839545
mh,0.20381591640093688
dh,0.1667704562079269
ias,0.1626195411472137
aoat,0.14418861211359915
2fpw1,0.13717524156995978
fpw1,0.13106812630174328
hp,0.12435609425668466
tat,0.12374579607199324
fpw2,0.12114686767672422
2fpw2,0.11223006208901279
2fn1,0.10687221695465578
fn1,0.10687221695465578
hc,0.10229711618950399
ljp,0.10000003423765458
sat,0.09687500401503504
2fn3,0.08849382264095557
fn3,0.08849382264095557
zhx,0.08604813082283991
fs,0.08312487648981338
ds,0.08036663644570115
fn2,0.07575631971813175
2fn2,0.07575631971813175
tas,0.04986827450883522
ctd,0.04477612054405753
m,0.043859610138541595
yjsl,0.03870967745811957
fpw4,0.03528537549246123
2fyj2,0.03370788804420249
fyj2,0.030985872510453344
2fpw4,0.029872834571492823
fyj3,0.02981025551854346
2fyj3,0.02702702702702703
dtg,0.025050841712738733
ttg,0.020181729012995375
2fpw3,0.016474355984292633
fpw3,0.016420246050352045
zjsl,0.016129033287752604
wd,0.012169805288370998
fyj4,0.01152731130798271
fyj1,0.01101922092530686
2fyj1,0.01101922092530686
phj,0.009456614159365915
2fyj4,0.008645510964396122
xjsl,0.003952569262715888
dp,0.0
gcj,0.0
rh,0.0
gsel,0.0
2rhsy,0.0
rhsy,0.0
